-47.96817, -15.91186, "[72439-]"
-47.95944, -15.87792, "[72438-]"
-47.95639, -15.85914, "[72437-]"
-43.84778, -22.66578, "[72412-]"
-47.93197, -15.84972, "[72409-]"
-48.04264, -15.87353, "[72377-]"
-47.98564, -15.87581, "[72376-]"
-47.99744, -15.87686, "[72375-]"
-51.85742, -29.70275, "[72354-]"
-52.05081, -29.66578, "[72353-]"
-53.62989, -28.61989, "[72308-]"
-50.19114, -30.13833, "[72297-]"
-43.40397, -22.99989, "[72252-]"
-47.97842, -23.59042, "[72250-]"
-46.52978, -23.91725, "[72248-]"
-47.99203, -15.87664, "[72239-]"
-48.00044, -15.87739, "[72238-]"
-48.03469, -15.87519, "[72237-]"
-48.01817, -15.87731, "[72226-]"
-48.00203, -15.87728, "[72225-]"
-50.99414, -30.03031, "[72221-]"
-51.39347, -29.66964, "[72189-]"
-51.40281, -29.67317, "[72188-]"
-46.79717, -21.99211, "[72186-]"
-47.82303, -15.84122, "[72164-]"
-47.82031, -15.84317, "[72163-]"
-48.05147, -15.90978, "[72043-]"
-43.37319, -22.97325, "[72041-]"
-43.41744, -22.98956, "[72040-]"
-43.23511, -22.82817, "[72023-]"
-47.85839, -15.80792, "[72021-]"
-47.80831, -15.75842, "[71988-]"
-38.35883, -12.92117, "[71972-]"
-38.36089, -12.92225, "[71971-]"
-38.34917, -12.92061, "[71970-]"
-38.34919, -12.92100, "[71969-]"
-47.92356, -15.84553, "[71947-]"
-47.91217, -15.84122, "[71946-]"
-47.89511, -15.83361, "[71945-]"
-47.88453, -15.82186, "[71944-]"
-47.88494, -15.82317, "[71943-]"
-47.89544, -15.83400, "[71942-]"
-47.88058, -15.78308, "[71920-]"
-48.31186, -10.23342, "[71872-]"
-47.85450, -15.72072, "[71862-]"
-47.81319, -15.75197, "[71861-]"
-47.81433, -15.75500, "[71860-]"
-47.79617, -15.76053, "[71848-]"
-47.78828, -15.76150, "[71847-]"
-47.86294, -15.71803, "[71846-]"
-46.96789, -22.06600, "[71841-]"
-47.88858, -15.80531, "[71791-]"
-47.89792, -15.81486, "[71790-]"
-47.91322, -15.82617, "[71789-]"
-42.93961, -22.90111, "[71772-]"
-43.43186, -23.00561, "[71764-]"
-43.43219, -23.00542, "[71763-]"
-43.41464, -23.00044, "[71761-]"
-43.41478, -23.00019, "[71760-]"
-43.40208, -23.00019, "[71758-]"
-42.87881, -22.93131, "[71749-]"
-43.38569, -23.00056, "[71738-]"
-43.38569, -23.00031, "[71737-]"
-47.89206, -15.73719, "[71702-]"
-47.88047, -15.78289, "[71700-]"
-51.19439, -29.70428, "[71695-]"
-47.84489, -15.72600, "[71694-]"
-47.82853, -15.74136, "[71693-]"
-47.82108, -15.74822, "[71692-]"
-47.80756, -15.75867, "[71691-]"
-47.90092, -15.71456, "[71675-]"
-43.44494, -23.00894, "[71661-]"
-47.92172, -15.83219, "[71645-]"
-51.03147, -29.91586, "[71621-]"
-47.82492, -15.83653, "[71620-]"
-47.85194, -15.80725, "[71600-]"
-47.88708, -15.75267, "[71586-]"
-47.89239, -15.70742, "[71585-]"
-47.87014, -15.81475, "[71584-]"
-48.02603, -15.97069, "[71582-]"
-47.95636, -15.86019, "[71560-]"
-52.33428, -29.68386, "[71533-]"
-50.25967, -29.93131, "[71518-]"
-47.89578, -15.72608, "[71515-]"
-48.93756, -23.09069, "[71514-]"
-41.79519, -22.35408, "[71462-]"
-41.77783, -22.33792, "[71461-]"
-53.55328, -25.02592, "[71445-]"
-45.61450, -23.09361, "[71430-]"
-43.26553, -22.99792, "[71429-]"
-46.49475, -23.88314, "[71392-]"
-46.46414, -23.90197, "[71391-]"
-38.52431, -3.78308, "[71377-]"
-38.54172, -3.78039, "[71376-]"
-46.57903, -23.10086, "[71374-]"
-47.86147, -15.80953, "[71356-]"
-47.85575, -15.80669, "[71353-]"
-51.11375, -29.66131, "[71319-]"
-47.13039, -22.80069, "[71269-]"
-47.11736, -22.80772, "[71268-]"
-42.87881, -22.93119, "[71170-]"
-42.91769, -22.93328, "[71169-]"
-47.96972, -15.79556, "[71048-]"
-47.98014, -15.79042, "[71047-]"
-48.00042, -15.78606, "[71046-]"
-49.77578, -29.37689, "[71036-]"
-51.11833, -23.29314, "[71031-]"
-47.94858, -15.86967, "[71030-]"
-47.95983, -15.88178, "[71029-]"
-47.93247, -15.85208, "[71020-]"
-47.89233, -15.73678, "[70993-]"
-51.54792, -28.88739, "[70982-]"
-51.55311, -28.89861, "[70981-]"
-38.52964, -3.78411, "[70923-]"
-38.53739, -3.78158, "[70922-]"
-47.87031, -15.75406, "[70906-]"
-47.86175, -15.78008, "[70905-]"
-47.87836, -15.74597, "[70900-]"
-47.87058, -15.75442, "[70899-]"
-47.86286, -15.76322, "[70896-]"
-48.04856, -15.79150, "[70840-]"
-43.21869, -22.81228, "[70800-]"
-43.33733, -23.00053, "[70796-]"
-43.33733, -23.00031, "[70795-]"
-47.94756, -15.78792, "[70720-]"
-47.84917, -15.80850, "[70710-]"
-47.85792, -15.78808, "[70708-]"
-50.92328, -29.63431, "[70682-]"
-50.93842, -29.63689, "[70681-]"
-51.00933, -29.64433, "[70680-]"
-43.26561, -22.99806, "[70655-]"
-51.31775, -29.62183, "[76002-]"
-43.17106, -22.90458, "[76021-]"
-47.37658, -21.94425, "[76076-]"
-47.18475, -22.89517, "[76088-]"
-47.15569, -22.88542, "[76089-]"
-47.12828, -22.89308, "[76090-]"
-46.28514, -23.92703, "[76116-]"
-47.07689, -22.84986, "[76125-]"
-46.47900, -23.11753, "[76140-]"
-49.04256, -22.35647, "[76153-]"
-49.05036, -22.33064, "[76154-]"
-49.05342, -22.32047, "[76155-]"
-49.05647, -22.31089, "[76156-]"
-46.91458, -23.08181, "[76161-]"
-51.94775, -29.69286, "[76168-]"
-48.47464, -22.87975, "[76178-]"
-48.79872, -22.58464, "[76179-]"
-49.06242, -22.30294, "[76180-]"
-50.43164, -21.24411, "[76185-]"
-50.43708, -21.23950, "[76186-]"
-50.47894, -21.20686, "[76187-]"
-46.47911, -23.11764, "[76216-]"
-47.19347, -24.28469, "[76303-]"
-47.07258, -22.85878, "[76389-]"
-46.93692, -23.60169, "[76407-]"
-47.84444, -23.04411, "[76422-]"
-47.98164, -23.59114, "[76425-]"
-35.17172, -5.90992, "[76460-]"
-50.47903, -21.20708, "[76490-]"
-47.11806, -22.89903, "[76530-]"
-47.36994, -22.58994, "[76531-]"
-51.94733, -27.20292, "[76544-]"
-45.74322, -23.32225, "[76637-]"
-46.16081, -23.38772, "[76647-]"
-47.09828, -22.82081, "[76655-]"
-48.84058, -23.97578, "[76661-]"
-45.88156, -23.18961, "[76669-]"
-45.61425, -23.08908, "[76686-]"
-47.88881, -21.97531, "[76708-]"
-47.07953, -23.05022, "[76735-]"
-47.07933, -23.05025, "[76736-]"
-49.84578, -29.46419, "[76807-]"
-47.40064, -22.99728, "[76854-]"
-52.55408, -28.46397, "[76863-]"
-46.43092, -23.92786, "[76912-]"
-47.81269, -23.07092, "[76922-]"
-48.80042, -22.58367, "[76933-]"
-48.16236, -15.73106, "[76979-]"
-43.37325, -22.97336, "[77038-]"
-50.19736, -29.98497, "[77096-]"
-47.95631, -15.80869, "[77119-]"
-47.95939, -15.80858, "[77129-]"
-48.02714, -15.82522, "[77130-]"
-51.21233, -30.01272, "[77140-]"
-48.04564, -15.83136, "[77196-]"
-51.01039, -29.64414, "[77211-]"
-51.02528, -29.64589, "[77212-]"
-51.21036, -30.00806, "[77213-]"
-48.01003, -15.81658, "[77227-]"
